,episode,episode_reward,step,seed,env
2,20.0,1.544406172836441,20000,34512,hopper_stand
3,30.0,0.0,30000,34512,hopper_stand
4,40.0,6.457738423245294,40000,34512,hopper_stand
5,50.0,90.62835024290354,50000,34512,hopper_stand
6,60.0,110.81586196834341,60000,34512,hopper_stand
7,70.0,204.774898613585,70000,34512,hopper_stand
8,80.0,471.0876964424103,80000,34512,hopper_stand
9,90.0,752.3373174878645,90000,34512,hopper_stand
10,100.0,796.2933802644789,100000,34512,hopper_stand
11,110.0,727.8151900549826,110000,34512,hopper_stand
12,120.0,673.0251060657838,120000,34512,hopper_stand
13,130.0,813.894728886931,130000,34512,hopper_stand
14,140.0,826.6826376268785,140000,34512,hopper_stand
15,150.0,851.23233045712,150000,34512,hopper_stand
16,160.0,795.8039439919047,160000,34512,hopper_stand
17,170.0,886.2194023960883,170000,34512,hopper_stand
18,180.0,846.3249620584178,180000,34512,hopper_stand
19,190.0,865.9914503544001,190000,34512,hopper_stand
20,200.0,900.5671004197003,200000,34512,hopper_stand
21,210.0,878.8631422927953,210000,34512,hopper_stand
22,220.0,827.8112355653486,220000,34512,hopper_stand
23,230.0,903.6447118972168,230000,34512,hopper_stand
24,240.0,904.6726921584224,240000,34512,hopper_stand
25,250.0,898.9336767491333,250000,34512,hopper_stand
26,260.0,887.6467881674388,260000,34512,hopper_stand
27,270.0,905.2647379967804,270000,34512,hopper_stand
28,280.0,880.1024025040359,280000,34512,hopper_stand
29,290.0,870.2998335927878,290000,34512,hopper_stand
30,300.0,919.7008856952184,300000,34512,hopper_stand
31,310.0,820.6730920601901,310000,34512,hopper_stand
32,320.0,884.2237123415301,320000,34512,hopper_stand
33,330.0,870.9061285973619,330000,34512,hopper_stand
34,340.0,875.3123066622799,340000,34512,hopper_stand
35,350.0,885.2643651936627,350000,34512,hopper_stand
36,360.0,852.2544090449977,360000,34512,hopper_stand
37,370.0,848.7988200233107,370000,34512,hopper_stand
38,380.0,896.1770572736823,380000,34512,hopper_stand
39,390.0,923.0964079904534,390000,34512,hopper_stand
40,400.0,859.9926711556512,400000,34512,hopper_stand
41,410.0,761.4850956849808,410000,34512,hopper_stand
42,420.0,852.212552325279,420000,34512,hopper_stand
43,430.0,913.1870770086293,430000,34512,hopper_stand
44,440.0,876.2709947828142,440000,34512,hopper_stand
45,450.0,746.5139897634621,450000,34512,hopper_stand
46,460.0,876.4316004272458,460000,34512,hopper_stand
47,470.0,717.7172314971823,470000,34512,hopper_stand
48,480.0,844.3199329762856,480000,34512,hopper_stand
49,490.0,904.4256213387226,490000,34512,hopper_stand
50,500.0,895.1125395525484,500000,34512,hopper_stand
0,0.0,2.499167943257638,0,12345,hopper_stand
1,10.0,2.881167823448784,10000,12345,hopper_stand
2,20.0,0.6208198145716547,20000,12345,hopper_stand
3,30.0,10.48009349085421,30000,12345,hopper_stand
4,40.0,54.477585472868995,40000,12345,hopper_stand
5,50.0,83.91754147523001,50000,12345,hopper_stand
6,60.0,182.7566850216241,60000,12345,hopper_stand
7,70.0,204.96626798639016,70000,12345,hopper_stand
8,80.0,258.3243191252676,80000,12345,hopper_stand
9,90.0,358.1687229153151,90000,12345,hopper_stand
10,100.0,364.3994031285537,100000,12345,hopper_stand
11,110.0,422.6163157875882,110000,12345,hopper_stand
12,120.0,381.38528205671827,120000,12345,hopper_stand
13,130.0,490.12471195086187,130000,12345,hopper_stand
14,140.0,620.9505441677244,140000,12345,hopper_stand
15,150.0,737.0222774035009,150000,12345,hopper_stand
